team1,team2,game,date,tourney,result,link
Panda,Loong,1,2024-11-04,2024 Tourney,1,vLTSB1M5tAY
The nameless ones,ISS,1,2024-11-04,2024 Tourney,1,NWIgu_7newI
"two eggs, one kol and a pure eradica",LirTnolikSimcler2xdd,1,2024-11-09,2024 Tourney,2,8FauRmRUvvc
"two eggs, one kol and a pure eradica",LirTnolikSimcler2xdd,2,2024-11-11,2024 Tourney,2,6uduN_QAhVY
Suneaters,Frontier Negotiator,1,2024-11-14,2024 Tourney,1,j4nzDv8ozXw
Bankstreet Boys,I’d sin for that solar empire,1,2024-11-20,2024 Tourney,1,W-vMpD4Q4Ko
I’d sin for that solar empire,"two eggs, one kol and a pure eradica",1,2024-11-21,2024 Tourney,2,6NQKCoEVGP8
I’d sin for that solar empire,"two eggs, one kol and a pure eradica",2,2024-11-22,2024 Tourney,2,-xkKfbzUYPM
The nameless ones,Frontier Negotiator,1,2024-11-24,2024 Tourney,1,Q-TDE6HRP3w
The nameless ones,Frontier Negotiator,2,2024-11-25,2024 Tourney,1,7rTSEmpkKvM
ISS,Loong,1,2024-11-28,2024 Tourney,2,3gFeJKQOBLo
ISS,Loong,2,2024-11-28,2024 Tourney,2,bk-mmh4opMs
LirTnolikSimcler2xdd,Bankstreet Boys,1,2024-11-29,2024 Tourney,1,9VVQvAGk0RU
LirTnolikSimcler2xdd,Bankstreet Boys,2,2024-11-30,2024 Tourney,1,fV6MU93desQ
Suneaters,Panda,1,2024-12-01,2024 Tourney,1,eDGtxcR5jfo
Suneaters,Panda,2,2024-12-01,2024 Tourney,1,LqH8AV-zdQc
"two eggs, one kol and a pure eradica",Loong,1,2024-12-03,2024 Tourney,2,H5btoy7XdYA
"two eggs, one kol and a pure eradica",Loong,2,2024-12-04,2024 Tourney,2,ragLUvKUYcc
Bankstreet Boys,ISS,1,2024-12-06,2024 Tourney,1,kcXRDokESJM
Bankstreet Boys,ISS,2,2024-12-06,2024 Tourney,1,62qkQjj-GlE
LirTnolikSimcler2xdd,Panda,1,2024-12-06,2024 Tourney,1,y_kqzsH96gM
LirTnolikSimcler2xdd,Panda,2,2024-12-06,2024 Tourney,1,NSK__hAO454
Suneaters,The nameless ones,1,2024-12-10,2024 Tourney,2,_5ILdd2dm6k
Suneaters,The nameless ones,2,2024-12-12,2024 Tourney,2,gKgTDo_iZh8
"two eggs, one kol and a pure eradica",Frontier Negotiator,1,2024-12-18,2024 Tourney,1,ETNH3WZkvqw
"two eggs, one kol and a pure eradica",Frontier Negotiator,2,2024-12-19,2024 Tourney,1,Q4PHHJpT7Tc&t=278s
Bankstreet Boys,Panda,1,2024-12-20,2024 Tourney,2,9rNGj2qDIzk
Bankstreet Boys,Panda,2,2024-12-21,2024 Tourney,1,oxLQfMCw4bU
Bankstreet Boys,Panda,3,2024-12-22,2024 Tourney,1,0feGtIym1wU
